Date,0001.HK,0002.HK,0003.HK,0004.HK,0005.HK,0006.HK,0008.HK,0010.HK,0011.HK,0012.HK
2020-03-16,51.29999923706055,76.8499984741211,13.619047164916992,13.34000015258789,43.599998474121094,50.900001525878906,4.217766761779785,16.440000534057617,131.8000030517578,32.70000076293945
2020-03-17,53.099998474121094,75.5999984741211,13.600000381469727,13.039999961853027,43.849998474121094,50.5,4.179336071014404,16.540000915527344,132.0,33.54999923706055
2020-03-18,49.900001525878906,74.4000015258789,13.828571319580078,12.880000114440918,44.150001525878906,50.0,4.1120829582214355,15.300000190734863,131.8000030517578,31.600000381469727
2020-03-19,45.04999923706055,69.5,13.523809432983398,12.539999961853027,43.5,45.70000076293945,3.8430678844451904,14.0600004196167,126.19999694824219,29.950000762939453
2020-03-20,46.25,69.1500015258789,12.399999618530273,12.600000381469727,44.95000076293945,44.70000076293945,3.8622829914093018,14.460000038146973,130.60000610351562,29.700000762939453
2020-03-23,45.79999923706055,65.0,11.180952072143555,12.039999961853027,43.849998474121094,41.599998474121094,3.6989529132843018,14.020000457763672,124.4000015258789,28.200000762939453
2020-03-24,46.54999923706055,65.5999984741211,11.35237979888916,12.800000190734863,44.45000076293945,42.5,3.746990919113159,14.739999771118164,127.5999984741211,26.950000762939453
2020-03-25,48.650001525878906,68.30000305175781,11.790475845336914,13.460000038146973,45.0,44.5,3.9103219509124756,15.739999771118164,131.1999969482422,28.649999618530273
2020-03-26,49.45000076293945,69.55000305175781,11.676190376281738,13.359999656677246,45.04999923706055,45.20000076293945,3.939145088195801,16.020000457763672,131.3000030517578,28.649999618530273
2020-03-27,51.599998474121094,70.0999984741211,11.714284896850586,13.640000343322754,45.099998474121094,45.150001525878906,4.0063982009887695,15.9399995803833,132.10000610351562,28.799999237060547
2020-03-30,51.04999923706055,69.55000305175781,11.466666221618652,13.260000228881836,44.099998474121094,45.20000076293945,3.9103219509124756,15.359999656677246,129.0,28.350000381469727
2020-03-31,51.45000076293945,70.55000305175781,11.600000381469727,13.359999656677246,43.95000076293945,46.04999923706055,4.025613784790039,15.600000381469727,131.1999969482422,28.950000762939453
2020-04-01,51.5,69.9000015258789,11.923809051513672,13.239999771118164,39.79999923706055,45.599998474121094,3.996790885925293,16.100000381469727,127.19999694824219,29.100000381469727
2020-04-02,51.20000076293945,70.4000015258789,12.152379989624023,13.0,37.79999923706055,45.5,4.016005992889404,15.960000038146973,126.69999694824219,28.950000762939453
2020-04-03,51.75,71.75,12.171427726745605,13.319999694824219,37.599998474121094,45.75,4.140905857086182,16.219999313354492,131.10000610351562,28.899999618530273
2020-04-06,53.0,75.0,12.495238304138184,13.779999732971191,38.04999923706055,47.29999923706055,4.28502082824707,16.399999618530273,135.10000610351562,30.399999618530273
2020-04-07,56.0,77.6500015258789,12.99047565460205,14.260000228881836,39.20000076293945,49.099998474121094,4.256197929382324,16.719999313354492,134.1999969482422,31.100000381469727
2020-04-08,55.95000076293945,78.30000305175781,13.028571128845215,14.34000015258789,39.900001525878906,49.400001525878906,4.313844203948975,17.1200008392334,135.60000610351562,31.350000381469727
2020-04-09,56.70000076293945,78.8499984741211,13.14285659790039,14.5600004196167,40.20000076293945,50.04999923706055,4.304235935211182,17.239999771118164,136.60000610351562,31.600000381469727
2020-04-14,57.20000076293945,79.80000305175781,13.371427536010742,14.859999656677246,40.849998474121094,50.20000076293945,4.342667102813721,17.280000686645508,138.0,31.899999618530273
2020-04-15,57.0,81.4000015258789,13.580951690673828,14.399999618530273,40.599998474121094,51.54999923706055,4.390705108642578,17.079999923706055,136.60000610351562,31.75
2020-04-16,56.0,80.44999694824219,13.428570747375488,13.899999618530273,39.349998474121094,50.45000076293945,4.381096839904785,16.84000015258789,134.89999389648438,31.5
2020-04-17,57.400001525878906,81.05000305175781,13.676190376281738,14.199999809265137,39.45000076293945,51.099998474121094,4.4387431144714355,17.18000030517578,135.5,32.04999923706055
2020-04-20,57.0,80.30000305175781,13.371427536010742,14.15999984741211,39.79999923706055,50.70000076293945,4.457959175109863,17.1200008392334,136.0,31.5
2020-04-21,55.29999923706055,80.19999694824219,12.876190185546875,13.779999732971191,39.04999923706055,50.20000076293945,4.400312900543213,16.81999969482422,133.1999969482422,31.149999618530273
2020-04-22,54.900001525878906,80.0999984741211,12.857142448425293,13.520000457763672,38.349998474121094,50.0,4.400312900543213,16.520000457763672,132.0,30.450000762939453
2020-04-23,55.849998474121094,81.0999984741211,13.028571128845215,13.699999809265137,38.45000076293945,51.400001525878906,4.467566013336182,16.959999084472656,132.5,30.899999618530273
2020-04-24,55.0,80.8499984741211,12.971427917480469,13.5,38.5,51.0,4.467566013336182,16.81999969482422,131.3000030517578,30.549999237060547
2020-04-27,55.0,80.9000015258789,13.047618865966797,13.9399995803833,38.79999923706055,51.0,4.457959175109863,16.799999237060547,132.8000030517578,31.100000381469727
2020-04-28,55.25,82.0999984741211,13.161904335021973,13.819999694824219,39.04999923706055,51.5,4.477173805236816,17.219999313354492,133.1999969482422,31.0
2020-04-29,57.0,82.1500015258789,13.14285659790039,14.0,40.150001525878906,51.400001525878906,4.505997180938721,17.479999542236328,134.89999389648438,31.399999618530273
2020-05-04,55.04999923706055,80.19999694824219,12.723809242248535,13.699999809265137,38.599998474121094,50.20000076293945,4.467566013336182,17.100000381469727,131.1999969482422,30.100000381469727
2020-05-05,55.29999923706055,80.5,12.819046974182129,13.640000343322754,38.29999923706055,50.45000076293945,4.477173805236816,16.100000381469727,132.0,29.850000381469727
