Date,0002.HK,0003.HK,0004.HK,0005.HK,0006.HK,0008.HK,0010.HK,0011.HK,0012.HK,NIO
2020-05-29,75.94999694824219,12.419047355651855,13.819999694824219,35.849998474121094,43.150001525878906,4.0832600593566895,14.84000015258789,117.9000015258789,27.649999618530273,3.9800000190734863
2020-06-01,78.25,12.742856979370117,14.0600004196167,36.599998474121094,44.5,4.160120964050293,15.399999618530273,122.0,28.950000762939453,4.260000228881836
2020-06-02,78.0999984741211,12.838094711303711,14.300000190734863,37.20000076293945,44.5,4.20815896987915,15.9399995803833,122.9000015258789,29.450000762939453,4.699999809265137
2020-06-03,78.19999694824219,12.857142448425293,14.600000381469727,38.150001525878906,44.04999923706055,4.265804767608643,15.920000076293945,124.5,29.75,5.599999904632568
2020-06-04,77.80000305175781,12.742856979370117,14.479999542236328,38.849998474121094,43.79999923706055,4.342667102813721,15.720000267028809,124.30000305175781,29.850000381469727,5.96999979019165
2020-06-05,78.30000305175781,13.009523391723633,15.279999732971191,40.5,44.599998474121094,4.256197929382324,16.540000915527344,134.8000030517578,31.0,5.590000152587891
2020-06-08,77.94999694824219,13.047618865966797,15.739999771118164,41.0,44.70000076293945,4.28502082824707,16.360000610351562,139.39999389648438,31.5,5.96999979019165
2020-06-09,78.4000015258789,12.859999656677246,16.079999923706055,40.349998474121094,45.400001525878906,4.323451042175293,16.459999084472656,138.5,32.400001525878906,6.679999828338623
2020-06-10,78.0999984741211,12.699999809265137,15.65999984741211,39.75,44.79999923706055,4.28502082824707,16.540000915527344,137.10000610351562,30.649999618530273,6.300000190734863
2020-06-11,77.6500015258789,12.520000457763672,15.479999542236328,37.849998474121094,44.599998474121094,4.304235935211182,16.18000030517578,131.6999969482422,29.700000762939453,5.909999847412109
2020-06-12,78.05000305175781,12.539999961853027,15.619999885559082,37.29999923706055,44.29999923706055,4.294628143310547,16.479999542236328,129.5,29.549999237060547,6.099999904632568
