Date,0001.HK,0002.HK,0003.HK,0004.HK,0005.HK,0006.HK,0008.HK,0010.HK,0011.HK,0012.HK
2020-06-09,14015417,4346169,27100050,7156059,50714655,3842807,11483680,608000,4713244,9837120
2020-06-10,9462320,3880288,25684435,5115756,37035656,4532374,7169146,839456,3215769,6593348
2020-06-11,9834647,3863833,32831177,5891804,49782928,3299692,15506194,1302065,5906024,7022061
2020-06-12,11782962,3334416,27026669,4894707,57848137,3141879,12456601,1290202,5963189,6100848
2020-06-15,14363043,3774920,26140197,5910432,46541938,3917473,12736331,5918000,5860123,5245420
2020-06-16,9839236,3630868,21140272,5336326,27383495,3666056,13380825,1596400,2691252,5291005
2020-06-17,6891865,2425215,20810384,13973806,23795290,3150314,11250093,3388996,2712571,3763747
2020-06-18,9144193,3156162,17103382,62004475,32953207,1911459,9223644,984559,2824711,5289500
2020-06-19,25744885,5016099,31428211,19672047,28062059,5363699,41923058,7328487,9207415,26228051
2020-06-22,6641788,4615125,21176435,5019374,34982503,2504009,5972109,1153123,2432863,4865394
2020-06-23,11505535,3400703,21391990,4613309,30842507,3040016,14556977,3701728,2649068,4135153
2020-06-24,8234748,2618605,13192640,5043894,19690551,2928253,12261509,2452016,1508663,3644637
2020-06-26,12190261,2464932,14986885,5768547,17355031,1706544,6883113,1647871,1692135,3010515
2020-06-29,8766822,2208386,18675126,7178510,36050517,2777857,7449044,1529782,4087817,3948728
2020-06-30,8831897,3659797,17506545,5748335,34167872,5385793,10504713,1893400,2387860,3875349
2020-07-02,10852670,4430120,20018883,6080172,41239681,4930341,8874160,1816000,2379742,6438703
2020-07-03,9240624,2500066,14886505,4570572,32270516,2216768,4314908,1618000,1527468,3973133
2020-07-06,12990937,4052921,36186366,4876079,92943659,3263706,8472021,1110129,3289693,6457357
2020-07-07,12130443,6243762,24939340,6438760,50906633,2718927,10529569,1801830,2828551,4762980
2020-07-08,8226736,6570087,21605153,3012576,57615592,2773680,8059122,1387514,2629835,3716114
2020-07-09,8157846,5474055,29246460,3330284,42788459,3336951,13084487,3367522,2296427,6431461
2020-07-10,10338540,6367767,21801043,3542490,40678840,3022906,5629815,2672000,3313401,3047767
2020-07-13,6984082,3416684,28708436,2109874,41961306,3226080,9580140,1613592,2761935,2733926
2020-07-14,10271999,4882267,31242937,2631307,29340450,3360675,7440871,1051000,2777298,4235045
2020-07-15,7450659,3475122,25331578,1783191,30334333,2419061,5396397,1595025,2094262,4296158
2020-07-16,5009729,4452812,20806402,3045578,34854672,2332415,7650129,1552275,2092263,4064432
2020-07-17,6124546,2846512,14900013,1949893,27243627,1063948,5345089,1453000,1182267,2166102
2020-07-20,5682260,3798670,17664168,2150515,19725597,2256618,8744396,865082,1649394,3238209
2020-07-21,6675345,2451129,17903007,2303000,26347668,1457839,13763758,873862,1878995,3331089
2020-07-22,5725070,2323959,14508117,2289646,17722745,1585046,9233639,977514,1339172,3811067
2020-07-23,6234463,2643644,14192252,13435783,25017609,1971899,5660976,1648800,2050728,3190749
2020-07-24,7284377,4014997,27482341,19324113,33100326,2092826,7296964,1285000,3497127,3976362
2020-07-27,6007146,1648324,24636751,16039077,50460079,1931202,7772102,833544,2796334,3072332
2020-07-28,6037371,2296732,33849545,10875541,55264078,1890234,7682566,685936,1458892,3688298
2020-07-29,5880385,1889937,11632507,4637180,53369121,1268716,7654594,555407,1659523,2876052
2020-07-30,7122484,3715991,35204978,4260406,57022034,2882179,7352316,938052,2384510,3514057
2020-07-31,5609644,4324540,17572768,7656940,40579369,2442977,8970224,1192719,3023570,2469728
2020-08-03,6242401,4572247,27604182,5472615,94128800,2052957,8168316,1576000,7801476,4666970
2020-08-04,8260594,4523030,19861423,16860835,99499346,2434071,9148698,680218,8359120,3323299
2020-08-05,7515328,2650101,15588333,4526950,30930388,1866936,12498062,1085354,2642498,2377397
2020-08-06,5395197,2137248,15640616,5709150,31763955,4400948,8498123,402000,2563719,2011328
2020-08-07,9781651,2987418,17534531,9337069,34633089,2528833,85536003,417200,2509146,2140747
2020-08-10,4417692,1734857,17350301,4680122,29212182,2006132,47902712,453000,2434219,2144181
2020-08-11,8633891,4456379,22898899,4274215,46196174,3835987,23618839,382300,2751928,3081810
2020-08-12,9405826,2982852,27761890,7988976,80302566,2929196,16857878,1188361,6493107,4422354
2020-08-13,6771640,1917760,18237689,2975349,23680903,1915337,14300796,362000,3034923,2568853
2020-08-14,4483075,2165284,19781667,2922686,30190768,3269750,15458296,564000,2571775,1670704
2020-08-17,4221747,2717273,18871325,3746199,21989053,3444561,8414968,643000,2702452,2663707
2020-08-18,5234128,2873473,39254304,3502275,25123460,2792240,9768390,912820,1799519,2423952
2020-08-19,3302793,1983603,16476195,3189142,15636288,1676831,4813940,530000,876543,2266018
2020-08-20,7184232,4129880,19783533,3884193,27802988,2378299,7299763,293248,2228884,4008628
2020-08-21,4867266,3192879,15956204,2504126,17170736,1875367,6927959,435646,1193131,5513253
2020-08-24,4539360,2919625,20755120,7400133,21339128,1426486,6058044,678570,1576658,2513290
2020-08-25,3663352,1628074,14642361,3850402,26871069,1709545,10355956,847110,1608320,1761937
2020-08-26,5570897,2033995,17172652,4167822,21197400,1867180,6250622,469333,1441511,2199530
2020-08-27,5007631,1806533,16437688,5438209,34614385,1675575,6433069,694202,1828773,2778470
2020-08-28,5709804,2454140,15492850,6166554,40482849,1943772,7133611,1258000,3782148,2761971
2020-08-31,7869427,3507769,38897088,9605033,22318799,3392857,15652514,1138603,2282795,3570656
2020-09-01,6383120,2254386,18030828,2557326,25848470,2305377,6048014,1084000,1609150,3173848
2020-09-02,8511630,2058824,21642166,2624000,29444977,3872025,13351520,402041,2314437,2360872
2020-09-03,6049910,2655129,16088668,4309260,23867676,3267607,8839031,516612,1437952,3114812
2020-09-04,12456498,4391232,37493766,3165045,72546853,5008185,8512764,606000,3022828,5457418
2020-09-07,3566809,1198448,22127442,2941756,25566335,3458424,7720261,288155,2560572,3378721
2020-09-08,4942056,3422838,20302097,5198834,17394462,2412239,7397055,396500,2548450,1781267
2020-09-09,4951402,2927345,45474259,5893642,26236143,2186437,6397008,437284,1850360,2110980
2020-09-10,6920608,3125916,26616044,2515844,18575277,2383865,18079485,1035823,1003792,2138614
2020-09-11,7599968,2251808,47745748,2446202,15186566,1821792,6496122,831700,1097569,1928291
2020-09-14,4789952,1334219,11221408,2489264,14059388,1263638,10836764,279672,885841,2088086
2020-09-15,4488184,3821579,14976919,4204305,16221187,3250460,7688728,306220,1069782,1894257
2020-09-16,5622160,2333371,10745068,4773798,24685970,3475387,15135962,730700,1011534,2277726
2020-09-17,5260333,2724003,17760428,5252128,40160066,2199207,11620571,520000,1670850,4475643
2020-09-18,10181171,4952432,26303445,10644388,34257441,3252849,16293943,2775040,1987979,5419011
2020-09-21,4737731,1927889,11922998,5338207,120212774,2616805,7676948,607230,2539337,3024611
2020-09-22,8884880,2556306,12454495,6150078,87310269,2511449,8275339,987846,2119953,3160322
2020-09-23,4944232,2981586,11820435,5499790,109384367,2386314,7683489,652077,2358074,2533242
2020-09-24,4728562,3209984,17058276,7158462,63528729,2928520,15752468,601771,3009414,4475586
2020-09-25,3907163,2688467,19302647,3851000,42465827,2224649,11226728,629119,1660772,2991304
