0450.HK,鴻興印刷集團
0451.HK,協鑫新能源
0460.HK,四環醫藥
0467.HK,聯合能源集團
0468.HK,紛美包裝
0474.HK,昊天發展集團
0480.HK,香港興業國際
0486.HK,俄鋁
0487.HK,實德環球
0488.HK,麗新發展
0489.HK,東風集團股份
0493.HK,國美零售
0496.HK,卡森國際
0497.HK,資本策略地產
0500.HK,先豐服務集團
0505.HK,興業合金
0506.HK,中國食品
0511.HK,電視廣播
0512.HK,遠大醫藥
0517.HK,中遠海運國際
0520.HK,呷哺呷哺
0521.HK,CWT INT'L
0522.HK,ASM PACIFIC
0525.HK,廣深鐵路股份
0526.HK,中國汽車新零售
0528.HK,金達控股
0531.HK,順誠
0533.HK,金利來集團
0535.HK,金地商置
0536.HK,貿易通
0538.HK,味千（中國）
0542.HK,富元國際集團
0543.HK,太平洋網絡
0546.HK,阜豐集團
0547.HK,數字王國
0548.HK,深圳高速公路股份
0551.HK,裕元集團
0552.HK,中國通信服務
0553.HK,南京熊貓電子股份
0554.HK,漢思能源
0558.HK,力勁科技
0560.HK,珠江船務
0563.HK,上實城市開發
0564.HK,鄭煤機
0565.HK,錦藝集團控股
0570.HK,中國中藥
0571.HK,豐德麗控股
0573.HK,稻香控股
0576.HK,浙江滬杭甬
0579.HK,京能清潔能源
0580.HK,賽晶電力電子
0581.HK,中國東方集團
0582.HK,藍鼎國際
0583.HK,長城環亞控股
0585.HK,意馬國際
0586.HK,海螺創業
0588.HK,北京北辰實業股份
0589.HK,建中建設
0590.HK,六福集團
0592.HK,BOSSINI INT'L
0596.HK,浪潮國際
0598.HK,中國外運
0603.HK,中油燃氣
0604.HK,深圳控股
0605.HK,中國金融投資管理
0607.HK,豐盛控股
0610.HK,WAI KEE HOLD
0612.HK,中國鼎益豐
0613.HK,梧桐國際
0617.HK,百利保控股
0620.HK,大唐西市
0622.HK,威華達控股
0626.HK,大眾金融控股
0628.HK,國美金融科技
0631.HK,三一國際
0635.HK,彩星集團
0636.HK,嘉里物流
0639.HK,首鋼資源
0650.HK,ＩＤＧ能源投資
0655.HK,香港華人有限公司
0656.HK,復星國際
0658.HK,中國高速傳動
0659.HK,新創建集團
0661.HK,中國大冶有色金屬
0662.HK,亞洲金融
0665.HK,海通國際
